ticker,report_pair_id,alignment_change_signal_quality,alignment_change_primary_eligible,ambiguous_alignment_share,collision_flagged_word_share,unmatched_word_share,low_confidence_share,alignment_change_analyzed_words_all,alignment_change_analyzed_words_excl_ambiguous,alignment_change_analyzed_words_hml,alignment_change_analyzed_words_hm,alignment_change_analyzed_words_h,alignment_change_warning_reasons,alignment_change_exclusion_reasons
ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,USABLE,True,0.016069532908704883,0.6658572186836518,0.1775875796178344,0.3177966101694915,75360.0,74149.0,23511.0,22083.0,21579.0,"alignment run completed with warnings: 110 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW; collision-flagged word share 0.67 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
ACT,efc86601-4fe3-4420-ac32-87638b0fa2ca,USABLE,True,0.06517878721012094,0.5502106778467778,0.26810200800680895,0.30834213305174235,95169.0,88966.0,35099.0,32024.0,30643.0,alignment run completed with warnings: 94 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW,
ACT,7022dc8d-a738-42dd-87d0-1c3671a93aba,USABLE,True,0.07779203428616781,0.6008941917221128,0.2126483154539081,0.4372623574144487,75599.0,69718.0,22908.0,21261.0,19502.0,"alignment run completed with warnings: 143 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW; collision-flagged word share 0.60 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
ACT,d4b52e4b-2e0c-44f7-93b6-83b1fe0e6d43,USABLE,True,0.039121303634663436,0.5827878527739028,0.22723161589992796,0.43767840152235965,65233.0,62681.0,23461.0,22220.0,21246.0,alignment run completed with warnings: 153 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW,
ACT,01cdd41c-b18e-42ae-9105-7d4105383940,USABLE,True,0.0381882289123949,0.584947111472742,0.26680227827502034,0.3640897755610973,73740.0,70924.0,27185.0,26761.0,25836.0,alignment run completed with warnings: 129 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW,
ACT,8b48a478-e2cb-404b-9684-c7a06d955979,NEEDS_REVIEW,False,0.03708358227404767,0.35375677290426255,0.48385834071571315,0.17857142857142858,97078.0,93478.0,57686.0,52634.0,0.0,"irregular reporting gap: unexplained, not a flagged transition period; alignment run completed with warnings: irregular reporting gap (96 months); 62 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW; unmatched word share 0.48 above 0.4 -- high content turnover, not necessarily a defect",alignment-change quality is NEEDS_REVIEW; irregular reporting gap excluded from primary analysis by default
ACT,f186f164-e96f-49e3-9aca-46422253fdf6,USABLE,True,0.047859050110988385,0.7058003495866084,0.1149882577504209,0.5225285810356423,93253.0,88790.0,22043.0,20680.0,19508.0,"alignment run completed with warnings: 193 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW; collision-flagged word share 0.71 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
ACT,1bd7426f-c90f-40bf-a674-ceba14e90b2d,USABLE,True,0.0456086498373574,0.6344664864617218,0.17096944151738672,0.4719710669077758,87308.0,83326.0,26254.0,24795.0,23533.0,"alignment run completed with warnings: 210 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW; collision-flagged word share 0.63 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,USABLE,True,0.030010392112133424,0.6726991610270449,0.16041872607913213,0.4601156069364162,78906.0,76538.0,23141.0,20928.0,19823.0,"alignment run completed with warnings: 182 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW; collision-flagged word share 0.67 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
BEL,15448205-d33c-49ad-9637-b06e00e113fa,USABLE,True,0.08818454668039263,0.7141324363119662,0.06489872261450796,0.48653846153846153,68969.0,62887.0,11996.0,11288.0,11178.0,"alignment run completed with warnings: 76 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW; collision-flagged word share 0.71 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
BEL,9586003a-ee0f-45b8-83ed-1eeb58a36532,USABLE,True,0.07750100497636572,0.7363635103477911,0.08793889743696372,0.5192307692307693,72141.0,66550.0,11940.0,11560.0,11343.0,"alignment run completed with warnings: 118 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW; collision-flagged word share 0.74 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
BEL,f2bf4ba7-cd10-4079-b827-e8a9ee1af1f3,USABLE,True,0.07746699277840244,0.667053054979193,0.15397187865861434,0.3937888198757764,86269.0,79586.0,20771.0,20175.0,20132.0,"alignment run completed with warnings: 116 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW; collision-flagged word share 0.67 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
BEL,99605b80-c80b-483a-9156-3405eb9a5c71,USABLE,True,0.03564209675245924,0.5609082333917261,0.32647891119795175,0.37420178799489145,74210.0,71565.0,29940.0,27319.0,26702.0,alignment run completed with warnings: 82 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW,
BEL,797dd800-261d-4097-8bc9-86a0d1d27555,USABLE,True,0.04503128674334059,0.5371183760626005,0.32323327882367253,0.38310893512851896,73993.0,70661.0,29922.0,29377.0,27522.0,alignment run completed with warnings: 64 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW,
BEL,f61ef31c-7a51-4fcc-8d4b-e9c04f9db807,USABLE,True,0.05273906269737673,0.771443008126658,0.08244557665585919,0.6046511627906976,94996.0,89986.0,15561.0,14191.0,12882.0,"alignment run completed with warnings: 135 ambiguous alignment(s); upstream feature quality is NEEDS_REVIEW; collision-flagged word share 0.77 above 0.6 -- non-unique correspondence (duplicate/boilerplate content), not a demonstrated mismatch",
