ticker,report_pair_id,confidence,alignment_status,alignment_type,combined_score,semantic_similarity,lexical_cosine_similarity,best_second_margin,collision_flag,split_merge_flag,ambiguous,passage_word_count,structured_content_category
ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,HIGH,NEW,UNMATCHED_LATER,,,,,False,False,False,2,
ACT,f186f164-e96f-49e3-9aca-46422253fdf6,HIGH,NEW,UNMATCHED_LATER,,,,,False,False,False,5,
BEL,99605b80-c80b-483a-9156-3405eb9a5c71,HIGH,LIGHTLY_MODIFIED,ONE_TO_ONE,0.730725858276722,0.9437170028686523,0.791698944975475,,False,False,False,49,
BEL,9586003a-ee0f-45b8-83ed-1eeb58a36532,HIGH,REMOVED,UNMATCHED_EARLIER,,,,,False,False,False,2,
KP2,6b6ff484-ea7d-4b87-9768-2d51318ec849,HIGH,REMOVED,UNMATCHED_EARLIER,,,,,False,False,False,4,
KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,HIGH,REMOVED,UNMATCHED_EARLIER,,,,,False,False,False,1,
SBP,0594cd10-bac7-4150-8f96-6d1218bd03eb,HIGH,UNCHANGED,ONE_TO_ONE,0.9632181157973947,0.964432778094247,0.9769826707159688,0.4596258164001559,False,False,False,154,
SBP,0594cd10-bac7-4150-8f96-6d1218bd03eb,HIGH,LIGHTLY_MODIFIED,ONE_TO_ONE,0.8333089478417264,0.9056121650703067,0.9103213218573859,0.36924495512142474,False,False,False,16,
SDL,60caa2a3-661d-4ee2-92ef-539768f8068c,HIGH,UNCHANGED,ONE_TO_ONE,0.9983022406475175,1.0,1.0,,False,False,False,2,
SDL,60caa2a3-661d-4ee2-92ef-539768f8068c,HIGH,NEW,UNMATCHED_LATER,,,,,False,False,False,58,
SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,HIGH,NEW,UNMATCHED_LATER,,,,,False,False,False,4,
SUR,2c91bda6-fee7-4796-852e-7ccebc4e8add,HIGH,NEW,UNMATCHED_LATER,,,,,False,False,False,22,
ACT,8b48a478-e2cb-404b-9684-c7a06d955979,MEDIUM,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.508827181688879,0.8156214952468872,0.33695782727949386,,False,False,False,243,list_content
ACT,8b48a478-e2cb-404b-9684-c7a06d955979,MEDIUM,REMOVED,UNMATCHED_EARLIER,,,,,False,False,False,19,
BEL,f61ef31c-7a51-4fcc-8d4b-e9c04f9db807,MEDIUM,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.5220906226958693,0.6619165346721966,0.3193989037670505,0.059006759629158245,False,False,False,29,
BEL,9586003a-ee0f-45b8-83ed-1eeb58a36532,MEDIUM,LIGHTLY_MODIFIED,ONE_TO_ONE,0.7608650588408622,0.9207844734191895,0.8615892392977362,0.05802143895869105,False,False,False,64,
KP2,4304dbf2-4d9f-4c85-91dc-6913ab4f6739,MEDIUM,LIGHTLY_MODIFIED,ONE_TO_ONE,0.8667236089615232,0.933699373382369,0.7999999999999998,0.05843755367233727,False,False,False,5,
KP2,4304dbf2-4d9f-4c85-91dc-6913ab4f6739,MEDIUM,LIGHTLY_MODIFIED,ONE_TO_ONE,0.9416043202866661,0.9742618203163216,0.9090909090909091,0.03315223649264354,False,False,False,11,
SBP,d1b5fcd2-1fa7-4511-8a01-e5743baa9bc3,MEDIUM,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.5768699290145299,0.785096287727356,0.5204171778197741,0.038865505167656855,False,False,False,202,
SBP,d1b5fcd2-1fa7-4511-8a01-e5743baa9bc3,MEDIUM,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.5768699290145299,0.785096287727356,0.5204171778197741,0.038865505167656855,False,False,False,140,
SDL,60caa2a3-661d-4ee2-92ef-539768f8068c,MEDIUM,LIGHTLY_MODIFIED,ONE_TO_ONE,0.8841260334061491,0.9371951818466187,0.8749999999999998,0.03848918711822513,False,False,False,8,
SDL,60caa2a3-661d-4ee2-92ef-539768f8068c,MEDIUM,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.5519223344159143,0.7637609102583488,0.3362244266582044,0.0540988223672314,False,False,False,14,numeric_or_table_like_source
SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,MEDIUM,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.5456371698867708,0.7247208408761779,0.16080463829279432,0.05182318248877982,False,False,False,6,
SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,MEDIUM,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.6521631771274572,0.8449930456276579,0.5270462766947299,0.03338201671982266,False,False,False,9,
ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,LOW,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.5524563726277933,0.8274343506952748,0.3795612863402754,0.016858367726718226,False,False,False,86,
ACT,efc86601-4fe3-4420-ac32-87638b0fa2ca,LOW,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.6026373063015837,0.8480026216505411,0.5837712578820804,0.012506651491000276,False,False,False,259,
BEL,99605b80-c80b-483a-9156-3405eb9a5c71,LOW,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.5033251489623163,0.7911249523684425,0.19123013889162113,0.007874211268411035,False,False,False,5,
BEL,99605b80-c80b-483a-9156-3405eb9a5c71,LOW,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.5033251489623163,0.7911249523684425,0.19123013889162113,0.007874211268411035,False,False,False,178,
KP2,3be59506-3d38-4040-a4fa-da7bd764ab81,LOW,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.5933725959179654,0.8455090018803492,0.44553181756131993,0.007334681839143986,False,False,False,198,
KP2,393f45ef-e61e-47f4-8ea5-f299cb518d79,LOW,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.5805846328170196,0.7830931077544043,0.5827325681066219,0.027040408898762025,False,False,False,284,list_content
SBP,d1b5fcd2-1fa7-4511-8a01-e5743baa9bc3,LOW,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.6086776117743986,0.8402348255971193,0.5816306466324467,0.02574998210027779,False,False,False,91,
SBP,d1b5fcd2-1fa7-4511-8a01-e5743baa9bc3,LOW,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.5730750109531877,0.7939712054763843,0.5363486236605147,0.010933664413367294,False,False,False,161,list_content
SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,LOW,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.5270001661369899,0.8118568174924378,0.28997207163437416,0.010569479797799097,False,False,False,78,
SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,LOW,SUBSTANTIALLY_MODIFIED,ONE_TO_ONE,0.5532804802913732,0.7659612526286025,0.5072983659698563,0.0021791487589830627,False,False,False,14,
ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,NEEDS_REVIEW,AMBIGUOUS,UNMATCHED_EARLIER,,,,,False,False,True,3,
ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,NEEDS_REVIEW,LIGHTLY_MODIFIED,ONE_TO_ONE,0.6995516062488047,0.8717571573402207,0.7458581191023183,,True,False,False,85,
BEL,f2bf4ba7-cd10-4079-b827-e8a9ee1af1f3,NEEDS_REVIEW,UNCHANGED,ONE_TO_ONE,0.9980491551459294,1.0,1.0,0.012307692307692353,True,False,False,1,
BEL,99605b80-c80b-483a-9156-3405eb9a5c71,NEEDS_REVIEW,AMBIGUOUS,UNMATCHED_LATER,,,,,False,False,True,3,
KP2,393f45ef-e61e-47f4-8ea5-f299cb518d79,NEEDS_REVIEW,AMBIGUOUS,UNMATCHED_EARLIER,,,,,False,False,True,1,
KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,NEEDS_REVIEW,AMBIGUOUS,UNMATCHED_LATER,,,,,False,False,True,1,
SBP,0594cd10-bac7-4150-8f96-6d1218bd03eb,NEEDS_REVIEW,LIGHTLY_MODIFIED,ONE_TO_ONE,0.9490064200957754,0.9923189286995591,0.9307267255791963,0.3656959769810625,True,False,False,26,
SBP,0594cd10-bac7-4150-8f96-6d1218bd03eb,NEEDS_REVIEW,AMBIGUOUS,UNMATCHED_LATER,,,,,False,False,True,3,
SDL,60caa2a3-661d-4ee2-92ef-539768f8068c,NEEDS_REVIEW,UNCHANGED,ONE_TO_ONE,0.9993353732767414,1.0,1.0,0.24803740743693414,True,False,False,5,
