category,ticker,report_pair_id,earlier_period_end,later_period_end,gap_months,is_transition,irregular_gap,feature_quality,primary_eligible,disclosure_change_score,unchanged_rate_words,lightly_modified_rate_words,substantially_modified_rate_words,new_rate_words,removed_rate_words,ambiguous_rate_words,high_confidence_share,review_required_share,heading_fragment_share_earlier,heading_fragment_share_later,embedded_coverage_earlier,embedded_coverage_later,document_metric_disagreement_spread,warning_reasons,exclusion_reasons
low_disclosure_change_score,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,2023-06-30,2024-06-30,12,False,False,NEEDS_REVIEW,False,0.4356634521353672,0.08812003454847851,0.4744633921751979,0.19293612100533217,0.10985559592556374,0.08842697351045377,0.04619788283497391,0.7180533751962324,0.21381475667189953,0.7382098171318575,0.7784704904405653,1.0,1.0,0.6531526703647097,document-level similarity quality is NEEDS_REVIEW; alignment run completed with warnings: 120 ambiguous alignment(s),feature quality is NEEDS_REVIEW
low_disclosure_change_score,KP2,3be59506-3d38-4040-a4fa-da7bd764ab81,2022-12-31,2023-12-31,12,False,False,USABLE,True,0.5179541737398166,0.14391244021734917,0.3183111255803859,0.04548519870706695,0.24438605058561805,0.22037222209303228,0.02753296281654768,0.7355126300148589,0.2199108469539376,0.6277665995975855,0.644524236983842,0.9516129032258065,0.9494584837545126,0.20531298446338897,alignment run completed with warnings: 31 ambiguous alignment(s),
low_disclosure_change_score,KP2,4304dbf2-4d9f-4c85-91dc-6913ab4f6739,2021-12-31,2022-12-31,12,False,False,USABLE,True,0.5408215978258428,0.14845510560085048,0.26542086861472347,0.04343822294095187,0.2328085109568837,0.26687330143970533,0.04300399044688513,0.7346938775510204,0.21821036106750394,0.6455938697318008,0.6277665995975855,0.9346153846153846,0.9516129032258065,0.23331778492872046,alignment run completed with warnings: 20 ambiguous alignment(s),
high_disclosure_change_score,KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,2020-12-31,2021-12-31,12,False,False,NEEDS_REVIEW,False,0.5897677011169746,0.04144316314490267,0.3424906436177529,0.051975879717100645,0.27321360059649197,0.26483086122150556,0.026045851702246256,0.6733436055469953,0.27426810477657937,0.6245283018867924,0.6455938697318008,0.9354838709677419,0.9346153846153846,0.28894873963069745,low/needs-review confidence share 0.27 exceeds tolerance (0.25); alignment run completed with warnings: 16 ambiguous alignment(s),feature quality is NEEDS_REVIEW
high_disclosure_change_score,KP2,6b6ff484-ea7d-4b87-9768-2d51318ec849,2019-12-31,2020-12-31,12,False,False,USABLE,True,0.6135738074738535,0.055116165762302355,0.27064853933484173,0.07969084756622549,0.24039404921610635,0.3220070880804117,0.032143310040112394,0.6998556998556998,0.24242424242424243,0.6092362344582594,0.6245283018867924,0.9284436493738819,0.9354838709677419,0.392037188501021,alignment run completed with warnings: 14 ambiguous alignment(s),
high_disclosure_change_score,ACT,8b48a478-e2cb-404b-9684-c7a06d955979,2016-06-30,2024-06-30,96,False,True,NEEDS_REVIEW,False,0.6617660509252454,0.0,0.182925833374165,0.30824636189916216,0.258105084358208,0.2026393584529701,0.048083361915494796,0.0,0.21900161030595813,0.4346153846153846,0.6773308957952467,0.9961538461538462,1.0,0.7389719363314394,"document-level similarity quality is NEEDS_REVIEW; irregular reporting gap: unexplained, not a flagged transition period; alignment run completed with warnings: irregular reporting gap (96 months); 54 ambiguous alignment(s)",feature quality is NEEDS_REVIEW; irregular reporting gap excluded from primary analysis by default
dominant_lightly_modified,KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,2020-12-31,2021-12-31,12,False,False,NEEDS_REVIEW,False,0.5897677011169746,0.04144316314490267,0.3424906436177529,0.051975879717100645,0.27321360059649197,0.26483086122150556,0.026045851702246256,0.6733436055469953,0.27426810477657937,0.6245283018867924,0.6455938697318008,0.9354838709677419,0.9346153846153846,0.28894873963069745,low/needs-review confidence share 0.27 exceeds tolerance (0.25); alignment run completed with warnings: 16 ambiguous alignment(s),feature quality is NEEDS_REVIEW
dominant_lightly_modified,KP2,3be59506-3d38-4040-a4fa-da7bd764ab81,2022-12-31,2023-12-31,12,False,False,USABLE,True,0.5179541737398166,0.14391244021734917,0.3183111255803859,0.04548519870706695,0.24438605058561805,0.22037222209303228,0.02753296281654768,0.7355126300148589,0.2199108469539376,0.6277665995975855,0.644524236983842,0.9516129032258065,0.9494584837545126,0.20531298446338897,alignment run completed with warnings: 31 ambiguous alignment(s),
dominant_lightly_modified,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,2023-06-30,2024-06-30,12,False,False,NEEDS_REVIEW,False,0.4356634521353672,0.08812003454847851,0.4744633921751979,0.19293612100533217,0.10985559592556374,0.08842697351045377,0.04619788283497391,0.7180533751962324,0.21381475667189953,0.7382098171318575,0.7784704904405653,1.0,1.0,0.6531526703647097,document-level similarity quality is NEEDS_REVIEW; alignment run completed with warnings: 120 ambiguous alignment(s),feature quality is NEEDS_REVIEW
dominant_substantially_modified,ACT,8b48a478-e2cb-404b-9684-c7a06d955979,2016-06-30,2024-06-30,96,False,True,NEEDS_REVIEW,False,0.6617660509252454,0.0,0.182925833374165,0.30824636189916216,0.258105084358208,0.2026393584529701,0.048083361915494796,0.0,0.21900161030595813,0.4346153846153846,0.6773308957952467,0.9961538461538462,1.0,0.7389719363314394,"document-level similarity quality is NEEDS_REVIEW; irregular reporting gap: unexplained, not a flagged transition period; alignment run completed with warnings: irregular reporting gap (96 months); 54 ambiguous alignment(s)",feature quality is NEEDS_REVIEW; irregular reporting gap excluded from primary analysis by default
dominant_removed,KP2,6b6ff484-ea7d-4b87-9768-2d51318ec849,2019-12-31,2020-12-31,12,False,False,USABLE,True,0.6135738074738535,0.055116165762302355,0.27064853933484173,0.07969084756622549,0.24039404921610635,0.3220070880804117,0.032143310040112394,0.6998556998556998,0.24242424242424243,0.6092362344582594,0.6245283018867924,0.9284436493738819,0.9354838709677419,0.392037188501021,alignment run completed with warnings: 14 ambiguous alignment(s),
dominant_removed,KP2,4304dbf2-4d9f-4c85-91dc-6913ab4f6739,2021-12-31,2022-12-31,12,False,False,USABLE,True,0.5408215978258428,0.14845510560085048,0.26542086861472347,0.04343822294095187,0.2328085109568837,0.26687330143970533,0.04300399044688513,0.7346938775510204,0.21821036106750394,0.6455938697318008,0.6277665995975855,0.9346153846153846,0.9516129032258065,0.23331778492872046,alignment run completed with warnings: 20 ambiguous alignment(s),
low_confidence,KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,2020-12-31,2021-12-31,12,False,False,NEEDS_REVIEW,False,0.5897677011169746,0.04144316314490267,0.3424906436177529,0.051975879717100645,0.27321360059649197,0.26483086122150556,0.026045851702246256,0.6733436055469953,0.27426810477657937,0.6245283018867924,0.6455938697318008,0.9354838709677419,0.9346153846153846,0.28894873963069745,low/needs-review confidence share 0.27 exceeds tolerance (0.25); alignment run completed with warnings: 16 ambiguous alignment(s),feature quality is NEEDS_REVIEW
ambiguous_present,KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,2020-12-31,2021-12-31,12,False,False,NEEDS_REVIEW,False,0.5897677011169746,0.04144316314490267,0.3424906436177529,0.051975879717100645,0.27321360059649197,0.26483086122150556,0.026045851702246256,0.6733436055469953,0.27426810477657937,0.6245283018867924,0.6455938697318008,0.9354838709677419,0.9346153846153846,0.28894873963069745,low/needs-review confidence share 0.27 exceeds tolerance (0.25); alignment run completed with warnings: 16 ambiguous alignment(s),feature quality is NEEDS_REVIEW
ambiguous_present,ACT,8b48a478-e2cb-404b-9684-c7a06d955979,2016-06-30,2024-06-30,96,False,True,NEEDS_REVIEW,False,0.6617660509252454,0.0,0.182925833374165,0.30824636189916216,0.258105084358208,0.2026393584529701,0.048083361915494796,0.0,0.21900161030595813,0.4346153846153846,0.6773308957952467,0.9961538461538462,1.0,0.7389719363314394,"document-level similarity quality is NEEDS_REVIEW; irregular reporting gap: unexplained, not a flagged transition period; alignment run completed with warnings: irregular reporting gap (96 months); 54 ambiguous alignment(s)",feature quality is NEEDS_REVIEW; irregular reporting gap excluded from primary analysis by default
ambiguous_present,KP2,4304dbf2-4d9f-4c85-91dc-6913ab4f6739,2021-12-31,2022-12-31,12,False,False,USABLE,True,0.5408215978258428,0.14845510560085048,0.26542086861472347,0.04343822294095187,0.2328085109568837,0.26687330143970533,0.04300399044688513,0.7346938775510204,0.21821036106750394,0.6455938697318008,0.6277665995975855,0.9346153846153846,0.9516129032258065,0.23331778492872046,alignment run completed with warnings: 20 ambiguous alignment(s),
high_heading_fragment_share,KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,2020-12-31,2021-12-31,12,False,False,NEEDS_REVIEW,False,0.5897677011169746,0.04144316314490267,0.3424906436177529,0.051975879717100645,0.27321360059649197,0.26483086122150556,0.026045851702246256,0.6733436055469953,0.27426810477657937,0.6245283018867924,0.6455938697318008,0.9354838709677419,0.9346153846153846,0.28894873963069745,low/needs-review confidence share 0.27 exceeds tolerance (0.25); alignment run completed with warnings: 16 ambiguous alignment(s),feature quality is NEEDS_REVIEW
high_heading_fragment_share,KP2,4304dbf2-4d9f-4c85-91dc-6913ab4f6739,2021-12-31,2022-12-31,12,False,False,USABLE,True,0.5408215978258428,0.14845510560085048,0.26542086861472347,0.04343822294095187,0.2328085109568837,0.26687330143970533,0.04300399044688513,0.7346938775510204,0.21821036106750394,0.6455938697318008,0.6277665995975855,0.9346153846153846,0.9516129032258065,0.23331778492872046,alignment run completed with warnings: 20 ambiguous alignment(s),
high_heading_fragment_share,KP2,6b6ff484-ea7d-4b87-9768-2d51318ec849,2019-12-31,2020-12-31,12,False,False,USABLE,True,0.6135738074738535,0.055116165762302355,0.27064853933484173,0.07969084756622549,0.24039404921610635,0.3220070880804117,0.032143310040112394,0.6998556998556998,0.24242424242424243,0.6092362344582594,0.6245283018867924,0.9284436493738819,0.9354838709677419,0.392037188501021,alignment run completed with warnings: 14 ambiguous alignment(s),
irregular_gap,ACT,8b48a478-e2cb-404b-9684-c7a06d955979,2016-06-30,2024-06-30,96,False,True,NEEDS_REVIEW,False,0.6617660509252454,0.0,0.182925833374165,0.30824636189916216,0.258105084358208,0.2026393584529701,0.048083361915494796,0.0,0.21900161030595813,0.4346153846153846,0.6773308957952467,0.9961538461538462,1.0,0.7389719363314394,"document-level similarity quality is NEEDS_REVIEW; irregular reporting gap: unexplained, not a flagged transition period; alignment run completed with warnings: irregular reporting gap (96 months); 54 ambiguous alignment(s)",feature quality is NEEDS_REVIEW; irregular reporting gap excluded from primary analysis by default
document_metric_disagreement,SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,2023-06-30,2024-06-30,12,False,False,NEEDS_REVIEW,False,0.4356634521353672,0.08812003454847851,0.4744633921751979,0.19293612100533217,0.10985559592556374,0.08842697351045377,0.04619788283497391,0.7180533751962324,0.21381475667189953,0.7382098171318575,0.7784704904405653,1.0,1.0,0.6531526703647097,document-level similarity quality is NEEDS_REVIEW; alignment run completed with warnings: 120 ambiguous alignment(s),feature quality is NEEDS_REVIEW
