ticker,report_pair_id,earlier_passage_count,later_passage_count,aligned_passage_count,eligible_aligned_passage_count,excluded_low_information_count,excluded_low_information_words,excluded_heading_fragment_count,excluded_heading_fragment_words,heading_fragment_share_earlier,heading_fragment_share_later
ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,,,,,,,,,,
ACT,efc86601-4fe3-4420-ac32-87638b0fa2ca,,,,,,,,,,
ACT,7022dc8d-a738-42dd-87d0-1c3671a93aba,,,,,,,,,,
ACT,d4b52e4b-2e0c-44f7-93b6-83b1fe0e6d43,,,,,,,,,,
ACT,01cdd41c-b18e-42ae-9105-7d4105383940,,,,,,,,,,
ACT,8b48a478-e2cb-404b-9684-c7a06d955979,520,1094,1242,402,840,11697.0,840,11697.0,0.4346153846153846,0.6773308957952467
ACT,f186f164-e96f-49e3-9aca-46422253fdf6,,,,,,,,,,
ACT,1bd7426f-c90f-40bf-a674-ceba14e90b2d,,,,,,,,,,
ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,,,,,,,,,,
BEL,15448205-d33c-49ad-9637-b06e00e113fa,,,,,,,,,,
BEL,9586003a-ee0f-45b8-83ed-1eeb58a36532,,,,,,,,,,
BEL,f2bf4ba7-cd10-4079-b827-e8a9ee1af1f3,,,,,,,,,,
BEL,99605b80-c80b-483a-9156-3405eb9a5c71,,,,,,,,,,
BEL,797dd800-261d-4097-8bc9-86a0d1d27555,,,,,,,,,,
BEL,f61ef31c-7a51-4fcc-8d4b-e9c04f9db807,,,,,,,,,,
KP2,393f45ef-e61e-47f4-8ea5-f299cb518d79,557,498,702,241,461,2340.5,456,2093.5,0.644524236983842,0.6044176706827309
KP2,6b6ff484-ea7d-4b87-9768-2d51318ec849,563,530,693,263,430,1936.0,424,1667.5,0.6092362344582594,0.6245283018867924
KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,530,522,649,237,412,1840.5,410,1771.5,0.6245283018867924,0.6455938697318008
KP2,4304dbf2-4d9f-4c85-91dc-6913ab4f6739,522,497,637,232,405,1641.5,404,1612.5,0.6455938697318008,0.6277665995975855
KP2,3be59506-3d38-4040-a4fa-da7bd764ab81,497,557,673,229,444,1672.5,441,1599.5,0.6277665995975855,0.644524236983842
SBP,0594cd10-bac7-4150-8f96-6d1218bd03eb,,,,,,,,,,
SBP,d1b5fcd2-1fa7-4511-8a01-e5743baa9bc3,,,,,,,,,,
SDL,60caa2a3-661d-4ee2-92ef-539768f8068c,,,,,,,,,,
SUR,2c91bda6-fee7-4796-852e-7ccebc4e8add,,,,,,,,,,
SUR,bbd302a8-7777-42b1-afaa-d7bae792b638,2078,2406,3185,573,2612,21680.0,2612,21680.0,0.7382098171318575,0.7784704904405653
