dictionary_name,dictionary_version,source_hash,source,license_notes,term_count_total,distinct_normalized_terms,multi_category_term_count,inflection_or_spelling_variant_rows,category,category_term_row_count
custom_domain_taxonomy,1.0.0,195ce77b94ff70416eb4c16f6d79508b4d6ab68b342a6f3189feb6fdc11a53aa,Authored by this project (config/financial_language_custom_taxonomy.yaml).,Authored by this project; no third-party licensing restrictions.,138,138,0,20,financial_condition,46
custom_domain_taxonomy,1.0.0,195ce77b94ff70416eb4c16f6d79508b4d6ab68b342a6f3189feb6fdc11a53aa,Authored by this project (config/financial_language_custom_taxonomy.yaml).,Authored by this project; no third-party licensing restrictions.,138,138,0,20,governance,28
custom_domain_taxonomy,1.0.0,195ce77b94ff70416eb4c16f6d79508b4d6ab68b342a6f3189feb6fdc11a53aa,Authored by this project (config/financial_language_custom_taxonomy.yaml).,Authored by this project; no third-party licensing restrictions.,138,138,0,20,risk,35
custom_domain_taxonomy,1.0.0,195ce77b94ff70416eb4c16f6d79508b4d6ab68b342a6f3189feb6fdc11a53aa,Authored by this project (config/financial_language_custom_taxonomy.yaml).,Authored by this project; no third-party licensing restrictions.,138,138,0,20,strategy,29
loughran_mcdonald,1993-2025,e2d1328682bab7d2187684fb9f5420bb730401c9eefc00daf835edd203f4859d,Loughran-McDonald Master Dictionary (https://sraf.nd.edu/loughranmcdonald-master-dictionary/). Free for academic/non-commercial research use; a commercial license must be obtained separately for commercial use -- contact the authors directly.,Free for academic/non-commercial research use per the publisher's terms; not redistributed in this repository -- obtain the source CSV directly from sraf.nd.edu and import locally.,7413,6939,459,4098,constraining,323
loughran_mcdonald,1993-2025,e2d1328682bab7d2187684fb9f5420bb730401c9eefc00daf835edd203f4859d,Loughran-McDonald Master Dictionary (https://sraf.nd.edu/loughranmcdonald-master-dictionary/). Free for academic/non-commercial research use; a commercial license must be obtained separately for commercial use -- contact the authors directly.,Free for academic/non-commercial research use per the publisher's terms; not redistributed in this repository -- obtain the source CSV directly from sraf.nd.edu and import locally.,7413,6939,459,4098,litigious,1617
loughran_mcdonald,1993-2025,e2d1328682bab7d2187684fb9f5420bb730401c9eefc00daf835edd203f4859d,Loughran-McDonald Master Dictionary (https://sraf.nd.edu/loughranmcdonald-master-dictionary/). Free for academic/non-commercial research use; a commercial license must be obtained separately for commercial use -- contact the authors directly.,Free for academic/non-commercial research use per the publisher's terms; not redistributed in this repository -- obtain the source CSV directly from sraf.nd.edu and import locally.,7413,6939,459,4098,negative,4187
loughran_mcdonald,1993-2025,e2d1328682bab7d2187684fb9f5420bb730401c9eefc00daf835edd203f4859d,Loughran-McDonald Master Dictionary (https://sraf.nd.edu/loughranmcdonald-master-dictionary/). Free for academic/non-commercial research use; a commercial license must be obtained separately for commercial use -- contact the authors directly.,Free for academic/non-commercial research use per the publisher's terms; not redistributed in this repository -- obtain the source CSV directly from sraf.nd.edu and import locally.,7413,6939,459,4098,positive,659
loughran_mcdonald,1993-2025,e2d1328682bab7d2187684fb9f5420bb730401c9eefc00daf835edd203f4859d,Loughran-McDonald Master Dictionary (https://sraf.nd.edu/loughranmcdonald-master-dictionary/). Free for academic/non-commercial research use; a commercial license must be obtained separately for commercial use -- contact the authors directly.,Free for academic/non-commercial research use per the publisher's terms; not redistributed in this repository -- obtain the source CSV directly from sraf.nd.edu and import locally.,7413,6939,459,4098,strong_modal,38
loughran_mcdonald,1993-2025,e2d1328682bab7d2187684fb9f5420bb730401c9eefc00daf835edd203f4859d,Loughran-McDonald Master Dictionary (https://sraf.nd.edu/loughranmcdonald-master-dictionary/). Free for academic/non-commercial research use; a commercial license must be obtained separately for commercial use -- contact the authors directly.,Free for academic/non-commercial research use per the publisher's terms; not redistributed in this repository -- obtain the source CSV directly from sraf.nd.edu and import locally.,7413,6939,459,4098,uncertainty,537
loughran_mcdonald,1993-2025,e2d1328682bab7d2187684fb9f5420bb730401c9eefc00daf835edd203f4859d,Loughran-McDonald Master Dictionary (https://sraf.nd.edu/loughranmcdonald-master-dictionary/). Free for academic/non-commercial research use; a commercial license must be obtained separately for commercial use -- contact the authors directly.,Free for academic/non-commercial research use per the publisher's terms; not redistributed in this repository -- obtain the source CSV directly from sraf.nd.edu and import locally.,7413,6939,459,4098,weak_modal,52
