ticker,report_pair_id,pre_recalibration_configuration_hash,post_recalibration_configuration_hash,pre_recalibration_composite_quality,pre_recalibration_composite_primary_eligible,post_report_side_quality,post_report_side_primary_eligible,post_alignment_change_quality,post_alignment_change_primary_eligible,positive_rate_earlier_diff,negative_rate_earlier_diff,net_tone_change_diff,dictionary_match_rate_diff
ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,GOOD,True,USABLE,True,0.0,0.0,0.0,0.0
ACT,efc86601-4fe3-4420-ac32-87638b0fa2ca,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,GOOD,True,USABLE,True,0.0,0.0,0.0,0.0
ACT,7022dc8d-a738-42dd-87d0-1c3671a93aba,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,GOOD,True,USABLE,True,0.0,0.0,0.0,0.0
ACT,d4b52e4b-2e0c-44f7-93b6-83b1fe0e6d43,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,GOOD,True,USABLE,True,0.0,0.0,0.0,0.0
ACT,01cdd41c-b18e-42ae-9105-7d4105383940,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,GOOD,True,USABLE,True,0.0,0.0,0.0,0.0
ACT,8b48a478-e2cb-404b-9684-c7a06d955979,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,NEEDS_REVIEW,False,NEEDS_REVIEW,False,0.0,0.0,0.0,0.0
ACT,f186f164-e96f-49e3-9aca-46422253fdf6,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,GOOD,True,USABLE,True,0.0,0.0,0.0,0.0
ACT,1bd7426f-c90f-40bf-a674-ceba14e90b2d,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,GOOD,True,USABLE,True,0.0,0.0,0.0,0.0
ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,GOOD,True,USABLE,True,0.0,0.0,0.0,0.0
BEL,15448205-d33c-49ad-9637-b06e00e113fa,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,GOOD,True,USABLE,True,0.0,0.0,0.0,0.0
BEL,9586003a-ee0f-45b8-83ed-1eeb58a36532,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,GOOD,True,USABLE,True,0.0,0.0,0.0,0.0
BEL,f2bf4ba7-cd10-4079-b827-e8a9ee1af1f3,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,GOOD,True,USABLE,True,0.0,0.0,0.0,0.0
BEL,99605b80-c80b-483a-9156-3405eb9a5c71,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,GOOD,True,USABLE,True,0.0,0.0,0.0,0.0
BEL,797dd800-261d-4097-8bc9-86a0d1d27555,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,GOOD,True,USABLE,True,0.0,0.0,0.0,0.0
BEL,f61ef31c-7a51-4fcc-8d4b-e9c04f9db807,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,GOOD,True,USABLE,True,0.0,0.0,0.0,0.0
KP2,393f45ef-e61e-47f4-8ea5-f299cb518d79,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,USABLE,True,USABLE,True,0.0,0.0,0.0,0.0
KP2,6b6ff484-ea7d-4b87-9768-2d51318ec849,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,USABLE,True,USABLE,True,0.0,0.0,0.0,0.0
KP2,5b757eb0-ecd2-4b0a-a06b-2289156a8aca,f118a2afc5a94265c4984ef0ce358260025f4173baae7d4192be1697c08d4066,c994ae70cb5addaa515d9d18c0ce10643b3ca8a0c91e6bc6d880d407812b4684,NEEDS_REVIEW,False,USABLE,True,USABLE,True,0.0,0.0,0.0,0.0
