ticker,report_id,passage_id,passage_type,first_page_number,last_page_number,word_count,token_count,share_of_report_words,participates_in_alignment_gap,cumulative_corpus_word_share
ACT,71c5bb69-2abf-4b9a-8167-cc0fc0645540,6e3490a7-2f46-4e99-9311-58a783797857,PARAGRAPH,111,111,462,539,0.00867133392143246,True,0.00033442927689441155
ACT,71c5bb69-2abf-4b9a-8167-cc0fc0645540,3cd9452b-62e9-4c88-ad3b-d3397d056498,HEADING_WITH_BODY,117,117,311,1114,0.0058371966440811576,True,0.0005595537468384851
ACT,923373ad-e6a8-4ca5-96c9-020a5c297d8f,3d29b2bd-bcd6-439b-ab1b-4935c318a7de,PARAGRAPH,125,125,593,693,0.011808750024891968,,0.0009888103728090177
ACT,daf738d9-6e52-4e0d-ac1f-20405909e34b,130be19f-76bc-4b28-8ff3-b52d64ac7def,LIST,105,105,490,577,0.013797375682829308,,0.001343508090727333
BEL,5e143d2c-c26b-4d8f-bdd2-8c77fa9621fb,21ce1c84-cd9b-4a07-8ed4-dacad4272b45,MULTI_PARAGRAPH,97,97,359,524,0.008607255028890646,,0.0016033784595695273
BEL,224ac57d-bedf-4268-a773-9184fb8605d9,602c0fe6-bbff-4926-8016-58c28e36b25f,PARAGRAPH,110,110,448,551,0.008459374232897146,,0.001927673515951987
BEL,224ac57d-bedf-4268-a773-9184fb8605d9,dbb01daa-98cc-4a62-9af7-9879199f1d90,MULTI_PARAGRAPH,117,118,380,557,0.007175362072546687,,0.002202745215562109
KP2,9b42f11c-afea-49d9-8540-953b610f767e,a78f90d9-6f16-482a-bfb2-258fb242b02a,HEADING_WITH_BODY,5,5,389,515,0.006718944313942241,True,0.002484331771215629
KP2,9b42f11c-afea-49d9-8540-953b610f767e,495ddaea-9d4b-49ce-a4d0-e8e0ba1bf71b,PARAGRAPH,7,7,484,663,0.008359817603979549,True,0.002834686251771679
KP2,9b42f11c-afea-49d9-8540-953b610f767e,58aac836-d4df-4772-b731-e398b31c8693,PARAGRAPH,16,16,646,779,0.011157938372253696,True,0.0033023081411088866
KP2,9b42f11c-afea-49d9-8540-953b610f767e,0a7f5319-abd9-406f-85c0-466488fc4ac9,PARAGRAPH,17,17,591,724,0.010207959099074203,True,0.0037301170212919975
