publication_id,ticker,source_report_pair_id,target_comparison_id,earlier_period_end,later_period_end,gap_months,is_transition,is_irregular_gap,is_latest_for_company,is_historical_peak_change,disclosure_change_score,disclosure_change_label,disclosure_change_quality,disclosure_change_quality_label,disclosure_change_score_available,disclosure_change_score_displayed,disclosure_change_primary_eligible,discovery_exclusion_reason,report_side_quality,alignment_change_quality,primary_finding_key,secondary_finding_key,tertiary_finding_key
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,ACT,efc86601-4fe3-4420-ac32-87638b0fa2ca,85253bd3-9abb-58a5-8eb9-c6fe50127787,2016-06-30,2017-06-30,12,False,False,False,False,0.5876890246289987,Notable change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; low/needs-review confidence share 0.31 exceeds tolerance (0.25); alignment run completed with warnings: 94 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,GOOD,USABLE,,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,ACT,7022dc8d-a738-42dd-87d0-1c3671a93aba,14a9aaca-62c7-588c-be4f-c6539912a177,2017-06-30,2018-06-30,12,False,False,False,False,0.568427530107754,Moderate change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; low/needs-review confidence share 0.44 exceeds tolerance (0.25); alignment run completed with warnings: 143 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,GOOD,USABLE,largest_negative_tone_shift,largest_governance_shift,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,ACT,d4b52e4b-2e0c-44f7-93b6-83b1fe0e6d43,1bbc61de-7b7d-5d3a-8232-95beab6ad68a,2018-06-30,2019-06-30,12,False,False,False,False,0.5458640111912826,Moderate change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; low/needs-review confidence share 0.44 exceeds tolerance (0.25); alignment run completed with warnings: 153 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,GOOD,USABLE,,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,ACT,01cdd41c-b18e-42ae-9105-7d4105383940,1dbbd674-cb2d-5012-8430-7af53196acc7,2019-06-30,2020-06-30,12,False,False,False,False,0.5485772639527319,Moderate change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; low/needs-review confidence share 0.36 exceeds tolerance (0.25); alignment run completed with warnings: 129 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,GOOD,USABLE,largest_negative_tone_shift,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,ACT,3508eec4-4453-48f1-97fb-8533ed6f554e,a76876d7-c294-5c01-b714-eb040217a583,2020-06-30,2021-06-30,12,False,False,False,False,0.4832133161551557,Minimal change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; low/needs-review confidence share 0.32 exceeds tolerance (0.25); alignment run completed with warnings: 110 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,GOOD,USABLE,,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,ACT,6f19666e-09f0-4284-b84c-d6d79da10f5f,5db7b06e-727f-581f-a2ec-ed100ab35d82,2021-06-30,2022-06-30,12,False,False,False,False,0.4203599160891388,Minimal change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; low/needs-review confidence share 0.46 exceeds tolerance (0.25); alignment run completed with warnings: 182 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,GOOD,USABLE,largest_negative_tone_shift,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,ACT,1bd7426f-c90f-40bf-a674-ceba14e90b2d,8b48c74d-5530-5d22-be33-dc68537c6891,2022-06-30,2023-06-30,12,False,False,False,False,0.4670246863066012,Minimal change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; low/needs-review confidence share 0.47 exceeds tolerance (0.25); alignment run completed with warnings: 210 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,GOOD,USABLE,,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,ACT,8b48a478-e2cb-404b-9684-c7a06d955979,2df22d32-40d4-5206-82cd-48b75eeea872,2016-06-30,2024-06-30,96,False,True,False,False,0.7134357503755292,Substantial change,NEEDS_REVIEW,Review recommended,True,True,False,"disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; irregular reporting gap: unexplained, not a flagged transition period; alignment run completed with warnings: irregular reporting gap (96 months); 62 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW; irregular reporting gap excluded from primary analysis by default",NEEDS_REVIEW,NEEDS_REVIEW,,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,ACT,f186f164-e96f-49e3-9aca-46422253fdf6,1c51e2f3-a794-530c-80eb-f293d6098071,2023-06-30,2024-06-30,12,False,False,True,False,0.42275829809170146,Minimal change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; low/needs-review confidence share 0.52 exceeds tolerance (0.25); alignment run completed with warnings: 193 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,GOOD,USABLE,largest_governance_shift,,
66af4ec3-aa5d-5ac1-97c2-27ef7319a318,BEL,15448205-d33c-49ad-9637-b06e00e113fa,d27c4e29-30d7-5683-aa14-7d8465aa1713,2016-12-31,2017-12-31,12,False,False,False,False,0.41149185675958233,Minimal change,NEEDS_REVIEW,Review recommended,True,True,False,disclosure_change_quality=NEEDS_REVIEW; warning: document-level similarity quality is NEEDS_REVIEW; ambiguous word share 0.15 exceeds tolerance (0.15); low/needs-review confidence share 0.49 exceeds tolerance (0.25); alignment run completed with warnings: 76 ambiguous alignment(s); exclusion: feature quality is NEEDS_REVIEW,GOOD,USABLE,largest_governance_shift,largest_risk_removal,
