ticker,report_id,period_end,narrative_document_id,segmentation_run_id,source_word_count,passage_count,excluded_passage_count,min_passage_word_count,median_passage_word_count,mean_passage_word_count,max_passage_word_count,multi_page_passage_count,heading_associated_passage_count,provenance_warning_count,run_status,warnings,configuration_hash
ACT,71c5bb69-2abf-4b9a-8167-cc0fc0645540,2016-06-30,5e15475c-ff73-4ac3-be4d-06e07924e283,25ec9068-e2c4-4a4a-8768-07b58d9db8d8,53279,520,0,1,67.0,102.5,462,76,457,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
BEL,ae3729e6-2c8f-42fc-b49f-f1eb11d93422,,ce6d8fd7-5714-46a2-934e-ad4c03a3902e,891e60e5-7f93-4ece-9616-92a4a04c576e,37397,353,0,1,59,105.9,343,46,293,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
ACT,923373ad-e6a8-4ca5-96c9-020a5c297d8f,,8484b1e3-8d09-42dc-b14c-0542a33a60df,911eeca4-8557-4656-bee8-df081ce1346f,50217,731,0,1,4,68.7,593,8,651,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
BEL,58885078-9367-48da-b77b-7ba13c40d30e,,a6ca5223-e3ff-433a-9b18-42f3d5f26c0c,34ae5e24-ca60-4ecc-876f-4f6c4583e605,37206,411,0,1,30,90.5,361,23,354,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
ACT,daf738d9-6e52-4e0d-ac1f-20405909e34b,,f658066e-f656-4742-aabd-bc9fba2b353d,970aa70f-c8aa-405b-bd8a-9215953ecadb,35514,863,0,1,4,41.2,490,2,848,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
BEL,5e143d2c-c26b-4d8f-bdd2-8c77fa9621fb,,1e8e5286-3277-4fd3-8d90-8e9b230a4d1e,fadb6494-fcd3-450a-b881-82ad9521f462,41709,395,0,1,44,105.6,398,54,323,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
ACT,b52a299a-4102-4e6c-bf39-cfe728ca20e3,,084a4938-3253-4593-b255-d29c7071385c,866017f0-37a8-4775-963f-d8da20f6cf1a,41080,766,0,1,8.0,53.6,346,3,742,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
BEL,224ac57d-bedf-4268-a773-9184fb8605d9,,2c93e553-76d5-4268-be97-bd74263c6c66,66cae49a-2e05-40d2-9e8b-81ad1e46dbf6,52959,667,1,1,7,79.4,448,48,571,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
ACT,b8b1c14f-23d4-454d-ae51-f2dfa69fdcef,,1c0f7844-1758-4858-a1ac-616924bf9f73,8df5c8a4-a6f5-4204-bcd1-f6e79de8e8c8,44028,957,0,1,9,46.0,342,0,928,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
BEL,30230fbf-6933-4049-a5bd-ca6927a76349,,7292daec-97d0-40c8-bdc7-af66f9ea9422,ee691fa2-c214-40b8-bb9b-4f5f16795876,27826,390,0,1,8.0,71.3,361,23,347,0,COMPLETED,,1ad443cf0ba36d44d25d93e6584ebb47047fbd76e58be86047224d8e78b2d334
